id,name
425,Kern River Parkway Park
835,Skyline Wilderness Park
1385,Admiral William Standley State Recreation Area
1387,Ahjumawi Lava Springs State Park
1424,Azalea State Natural Reserve
1431,Benicia Capitol State Historic Park
1441,Big Basin Redwoods State Park
1446,Bothe-Napa Valley State Park
1448,Burleigh H. Murray Ranch
1466,Carpinteria State Beach
1474,Cayucos State Beach
1478,Chino Hills State Park
1482,Colonel Allensworth State Historic Park
1488,Cuyamaca Rancho State Park
1491,Del Norte Coast Redwoods State Park
1503,Donner Memorial State Park
1504,Drum Barracks
1547,George J. Hatfield State Recreation Area
1548,Governor's Mansion State Historic Park
1549,Gray Whale Cove State Beach
1552,Grizzly Creek Redwoods State Park
1558,Hearst San Simeon State Park
1568,Humboldt Lagoons State Park
1570,Humboldt Redwoods State Park
1576,Indian Grinding Rock State Historic Park
1580,Jedediah Smith Redwoods State Park
1582,John Little State Reserve
1591,Kings Beach State Recreation Area
1604,Leucadia State Beach
1615,Malibu Lagoon State Beach
1646,Morro Strand State Beach
1655,Natural Bridges State Beach
1659,Oceano Dunes State Vehicular Recreation Area
1669,Pacifica State Beach
1672,Pelican State Beach
1722,San Bruno Mountain State Park
1735,Santa Cruz Mission State Historic Park
1740,Schooner Gulch State Beach
1747,Sinkyone Wilderness State Park
1754,South Yuba River State Park
1757,Stone Lakes
1758,Stone Lakes National Wildlife Refuge
1766,Tahoe State Recreation Area
1771,Tomo-Kahni State Historic Park
1772,Topanga State Park
1787,Wilder Ranch State Park
1793,Zmudowski State Beach
1823,Castaic Lake State Recreation Area
1836,Plumas-Eureka State Park
1955,Julia Pfeiffer Burns State Park
1959,MacKerricher State Park
1964,Mono Lake Tufa State Reserve
1965,Morro Bay State Park
1981,Salt Point State Park
1993,Sonoma Coast State Park
1996,California Polytechnic State University
2079,Lake Calavera Preserve
2124,Lake Casitas Recreation Area
2257,Chino Hills Open Space
2318,City of Chula Vista Open Space
2452,Coachella Valley Association of Governments Reserve
2549,Conejo Canyons - Rancho Conejo Open Space - COSCA
2844,Fairview Park
3081,Point St. George
3208,Anthony Chabot Regional Park
