park,lng,lat,farm,secret,server,ident
103,-122.323667,37.896499,4,025610f098,3780,9361299771
103,-122.323337,37.899501,3,7353b262b2,2862,9338874900
103,-122.317987,37.905769,4,59d74673dd,3723,9319627502
103,-122.320597,37.898316,4,a2ca9a432a,3806,9292492091
103,-122.322905,37.899437,4,56037705ee,3817,9288263905
103,-122.31166,37.898947,4,d00cc2d5b5,3708,9264808969
103,-122.31705,37.89948,4,b83e5eca1c,3764,9101601220
103,-122.320827,37.905102,6,fbf566fa4d,5483,9079505929
103,-122.320709,37.905127,3,3cb724c44d,2806,9071486867
103,-122.322905,37.899437,4,0ca2764f4f,3805,9029486070
103,-122.318434,37.904297,8,f908de033f,7312,8883953690
103,-122.318434,37.904297,4,f89918deb4,3800,8883328445
103,-122.318434,37.904297,4,0dff7bc2d7,3819,8883329321
103,-122.318434,37.904297,8,bc77a3797c,7457,8883328861
103,-122.318434,37.904297,6,db40a62fbf,5327,8883952976
103,-122.312,37.897833,8,f9770ba4e8,7350,8868723602
103,-122.321667,37.9095,3,c2c6405083,2868,8868111723
103,-122.322905,37.899437,9,4bcffa0cc1,8535,8810894012
103,-122.322905,37.899437,8,b6f40181a7,7306,8732596685
103,-122.320945,37.903974,9,c68a8290c0,8412,8702013571
103,-122.319556,37.903316,9,d171fc9320,8257,8685405622
103,-122.316895,37.899781,9,fca5cc96d6,8404,8679160477
103,-122.322767,37.899753,9,bd6aaace73,8381,8670866868
103,-122.322767,37.899753,9,364a1acf4a,8253,8667197110
103,-122.322767,37.899753,9,81021cede2,8257,8666080815
103,-122.31962,37.904056,9,1bb24ff5cb,8113,8660058782
103,-122.319771,37.904056,9,f290cc33dd,8113,8660058582
103,-122.320597,37.898316,9,ed5f62c009,8112,8658160409
103,-122.321712,37.903811,9,0590c90af4,8386,8652682531
103,-122.314857,37.900111,9,4155a8bae7,8379,8636944812
103,-122.314921,37.900103,9,1ea85e4705,8402,8636944554
103,-122.319,37.908,9,c23335c7e4,8522,8630320688
103,-122.322767,37.900593,9,6108a0dc43,8264,8625183948
103,-122.31947,37.903921,9,2e68e44d2a,8384,8620342095
103,-122.319717,37.903303,9,22c08bb9d2,8122,8612885612
103,-122.322767,37.900593,9,e0d5306f82,8114,8602737093
103,-122.322767,37.900593,9,9f504a891b,8402,8601106873
103,-122.322767,37.900593,9,11c223f43e,8239,8601102743
103,-122.322592,37.902507,9,eac2813400,8232,8594644722
103,-122.322989,37.902397,9,f87d09a661,8103,8594644914
103,-122.321834,37.898166,9,260764241b,8092,8584641600
103,-122.319352,37.90315,9,41ec313d43,8388,8566983861
103,-122.32212,37.903032,9,ff6db8e6cf,8384,8564407130
103,-122.317872,37.902405,9,85f8c8cd3e,8372,8564210486
103,-122.319084,37.905935,9,f2bec77c9e,8252,8563107485
103,-122.322728,37.901021,9,e72d36d2f0,8376,8562886979
103,-122.322728,37.901021,9,b155cc102b,8510,8560259023
103,-122.322728,37.901021,9,d7d8b93eb2,8238,8560237189
103,-122.322728,37.901021,9,528ab98c34,8087,8561310128
103,-122.322728,37.901021,9,acd0e728d3,8087,8557790007
103,-122.322728,37.901021,9,ca71bcbce2,8525,8552620899
103,-122.322728,37.901021,9,aeee619515,8520,8553712948
103,-122.316834,37.906333,9,912e02a447,8234,8521685365
103,-122.321831,37.901441,9,719c20dfe8,8097,8511003589
103,-122.321831,37.901441,9,47603ed98c,8229,8505851654
103,-122.321831,37.901441,9,9e4af622a6,8381,8505837006
103,-122.321831,37.901441,9,fe2cd5f2f2,8366,8505830944
103,-122.321831,37.901441,9,68e3a02aab,8109,8505826440
103,-122.321831,37.901441,9,876fa57515,8108,8505828796
103,-122.321831,37.901441,9,f9229df46c,8392,8504706473
103,-122.321831,37.901441,9,488c794174,8384,8504665737
103,-122.317614,37.901389,9,3718424978,8252,8493413791
103,-122.317024,37.904454,9,9d9ca21168,8232,8489919090
103,-122.313053,37.898383,9,e97e02e8fb,8374,8484082755
103,-122.3225,37.897833,9,b595e12be5,8511,8480711206
103,-122.323884,37.902288,9,fcaa6e6af3,8106,8475113144
103,-122.321831,37.901441,9,c3665cf059,8089,8462785349
103,-122.321831,37.901441,9,2321b66e80,8111,8462783531
103,-122.313148,37.906566,9,03a7cac8b8,8387,8455848563
103,-122.313148,37.906566,9,7ecacf2d58,8375,8456945252
103,-122.313148,37.906566,9,604b920332,8512,8456946310
103,-122.313148,37.906566,9,9c8c7a556b,8244,8456946026
103,-122.313148,37.906566,9,c60c602252,8386,8455848379
103,-122.313148,37.906566,9,ecebefba76,8374,8455847743
103,-122.313148,37.906566,9,b0f8582b29,8096,8455848137
103,-122.313148,37.906566,9,7876070949,8104,8455848677
103,-122.313148,37.906566,9,e1c1b57afb,8106,8455848329
103,-122.313148,37.906566,9,b23c54b76c,8244,8455847899
103,-122.313148,37.906566,9,dc83d2df5f,8240,8455848443
103,-122.313148,37.906566,9,4989478d33,8089,8455847845
103,-122.313148,37.906566,9,c9b2174fff,8508,8455848021
103,-122.313148,37.906566,9,26ef11fa29,8531,8455847943
103,-122.313148,37.906566,9,c01bb663ab,8385,8455848787
103,-122.313148,37.906566,9,8866eb1e58,8252,8455848181
103,-122.313148,37.906566,9,6851e51e01,8375,8455848089
103,-122.313148,37.906566,9,f77efe263b,8374,8455848605
103,-122.313148,37.906566,9,07718199c0,8094,8455847793
