lng,lat,farm,secret,server,ident
-122.323667,37.896499,4,025610f098,3780,9361299771
-122.323337,37.899501,3,7353b262b2,2862,9338874900
-122.317987,37.905769,4,59d74673dd,3723,9319627502
-122.320597,37.898316,4,a2ca9a432a,3806,9292492091
-122.322905,37.899437,4,56037705ee,3817,9288263905
-122.31166,37.898947,4,d00cc2d5b5,3708,9264808969
-122.31705,37.89948,4,b83e5eca1c,3764,9101601220
-122.320827,37.905102,6,fbf566fa4d,5483,9079505929
-122.320709,37.905127,3,3cb724c44d,2806,9071486867
-122.322905,37.899437,4,0ca2764f4f,3805,9029486070
-122.318434,37.904297,8,f908de033f,7312,8883953690
-122.318434,37.904297,4,f89918deb4,3800,8883328445
-122.318434,37.904297,4,0dff7bc2d7,3819,8883329321
-122.318434,37.904297,8,bc77a3797c,7457,8883328861
-122.318434,37.904297,6,db40a62fbf,5327,8883952976
-122.312,37.897833,8,f9770ba4e8,7350,8868723602
-122.321667,37.9095,3,c2c6405083,2868,8868111723
-122.322905,37.899437,9,4bcffa0cc1,8535,8810894012
-122.322905,37.899437,8,b6f40181a7,7306,8732596685
-122.320945,37.903974,9,c68a8290c0,8412,8702013571
-122.319556,37.903316,9,d171fc9320,8257,8685405622
-122.316895,37.899781,9,fca5cc96d6,8404,8679160477
-122.322767,37.899753,9,bd6aaace73,8381,8670866868
-122.322767,37.899753,9,364a1acf4a,8253,8667197110
-122.322767,37.899753,9,81021cede2,8257,8666080815
-122.31962,37.904056,9,1bb24ff5cb,8113,8660058782
-122.319771,37.904056,9,f290cc33dd,8113,8660058582
-122.320597,37.898316,9,ed5f62c009,8112,8658160409
-122.321712,37.903811,9,0590c90af4,8386,8652682531
-122.314857,37.900111,9,4155a8bae7,8379,8636944812
-122.314921,37.900103,9,1ea85e4705,8402,8636944554
-122.319,37.908,9,c23335c7e4,8522,8630320688
-122.322767,37.900593,9,6108a0dc43,8264,8625183948
-122.31947,37.903921,9,2e68e44d2a,8384,8620342095
-122.319717,37.903303,9,22c08bb9d2,8122,8612885612
-122.322767,37.900593,9,e0d5306f82,8114,8602737093
-122.322767,37.900593,9,9f504a891b,8402,8601106873
-122.322767,37.900593,9,11c223f43e,8239,8601102743
-122.322592,37.902507,9,eac2813400,8232,8594644722
-122.322989,37.902397,9,f87d09a661,8103,8594644914
